ID,File,Story,Characters,Tokens,Segments,KLD Avg,KLD Dev,KLD Avg Run,KLD Std Run
1,01_grimm_pg19068_rumpelstiltskin_el_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_174322.txt,AI-generated Rumpelstiltskin,2977,547,6,0.7543766816716887,0.011974450772483491,0.7424022308992052,0.036328179526192494
2,02_grimm_pg19068_rapunzel_el_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_174322.txt,AI-generated Rapunzel,4121,799,8,0.7208297781610481,-0.02157245273815711,0.7424022308992052,0.036328179526192494
3,03_grimm_pg19068_aschenputtel_el_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_174322.txt,AI-generated Aschenputtel,4262,782,8,0.7486121010868498,0.006209870187644628,0.7424022308992052,0.036328179526192494
4,04_grimm_pg19068_little_red-cap_el_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_174322.txt,AI-generated Little Red-cap,3395,626,7,0.702183042107379,-0.04021918879182618,0.7424022308992052,0.036328179526192494
5,05_grimm_pg19068_the_sleeping_beauty_el_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_174322.txt,AI-generated The Sleeping Beauty,3203,611,7,0.7983910207477498,0.05598878984854461,0.7424022308992052,0.036328179526192494
6,06_grimm_pg19068_hansel_and_grethel_el_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_174322.txt,AI-generated Hansel and Grethel,3472,617,7,0.7398141475482595,-0.0025880833509457357,0.7424022308992052,0.036328179526192494
7,07_grimm_pg19068_snow-white_el_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_174322.txt,AI-generated Snow-white,4462,809,9,0.8281646141216441,0.0857623832224389,0.7424022308992052,0.036328179526192494
8,08_grimm_pg19068_the_golden_goose_el_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_174322.txt,AI-generated The Golden Goose,4834,907,10,0.7358186441112952,-0.006583586787910045,0.7424022308992052,0.036328179526192494
9,09_grimm_pg19068_the_wolf_and_the_seven_kids_el_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_174322.txt,AI-generated The Wolf and the Seven Kids,5196,1005,11,0.7079078147264203,-0.034494416172784925,0.7424022308992052,0.036328179526192494
10,10_grimm_pg19068_the_frog_prince_el_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_174322.txt,AI-generated The Frog Prince,5259,1025,11,0.7003857426621808,-0.04201648823702442,0.7424022308992052,0.036328179526192494
11,11_grimm_gb1823_jorinda_and_jorindel_el_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_174322.txt,AI-generated Jorinda and Jorindel,2381,444,5,0.7847103231760328,0.042308092276827636,0.7424022308992052,0.036328179526192494
12,12_grimm_gb1826_the_nose_el_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_174322.txt,AI-generated The Nose,2694,507,6,0.8149421911110926,0.07253996021188736,0.7424022308992052,0.036328179526192494
13,13_grimm_ia1853-1_the_little_brother_and_sister_el_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_174322.txt,AI-generated The Little Brother and Sister,2250,422,5,0.7471988547414121,0.004796623842206915,0.7424022308992052,0.036328179526192494
14,14_grimm_ia1853-1_the_gold_children_el_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_174322.txt,AI-generated The Gold Children,3604,706,8,0.7031299836849116,-0.039272247214293565,0.7424022308992052,0.036328179526192494
15,15_grimm_ia1853-1_the_knapsack_the_hat_and_the_horn_el_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_174322.txt,"AI-generated The Knapsack, the Hat, and the Horn",7775,1441,15,0.7157428169182662,-0.026659413980938962,0.7424022308992052,0.036328179526192494
16,16_grimm_gb1826_the_crows_and_the_soldier_el_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_174322.txt,AI-generated The Crows and the Soldier,4918,930,10,0.7249510064955131,-0.017451224403692067,0.7424022308992052,0.036328179526192494
17,17_grimm_gb1853-2_the_faithful_beasts_el_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_174322.txt,AI-generated The Faithful Beasts,4234,784,8,0.746079058036769,0.0036768271375637873,0.7424022308992052,0.036328179526192494
18,18_grimm_gb1853-2_the_sparrow_and_his_four_children_el_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_174322.txt,AI-generated The Sparrow and his Four Children,3076,564,6,0.7319088885264213,-0.010493342372783876,0.7424022308992052,0.036328179526192494
19,19_grimm_gb1853-2_the_stolen_farthings_el_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_174322.txt,AI-generated The Stolen Farthings,4110,783,8,0.7210681961463765,-0.02133403475282869,0.7424022308992052,0.036328179526192494
20,20_grimm_gb1853-2_three_little_tales_about_toads_el_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_174322.txt,AI-generated Three Little Tales about Toads,3426,666,7,0.7218297122027936,-0.020572518696411635,0.7424022308992052,0.036328179526192494
