ID,File,Story,Characters,Tokens,Segments,KLD Avg,KLD Dev,KLD Avg Run,KLD Std Run
1,01_grimm_pg19068_rumpelstiltskin_tt_20250710_110156_tt_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_191246_tt_20250714_002423.txt,AI-generated Rumpelstiltskin,3965,710,8,0.7401458462612079,0.045092001370652945,0.695053844890555,0.05363989994224978
2,02_grimm_pg19068_rapunzel_tt_20250710_110157_tt_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_191246_tt_20250714_002423.txt,AI-generated Rapunzel,5010,945,7,0.7538481188624923,0.05879427397193726,0.695053844890555,0.05363989994224978
3,03_grimm_pg19068_aschenputtel_tt_20250710_110157_tt_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_191246_tt_20250714_002423.txt,AI-generated Aschenputtel,5731,1109,10,0.7143103451820572,0.019256500291502165,0.695053844890555,0.05363989994224978
4,04_grimm_pg19068_little_red-cap_tt_20250710_110157_tt_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_191246_tt_20250714_002423.txt,AI-generated Little Red-cap,4097,776,7,0.7380468822617473,0.04299303737119231,0.695053844890555,0.05363989994224978
5,05_grimm_pg19068_the_sleeping_beauty_tt_20250710_110157_tt_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_191246_tt_20250714_002423.txt,AI-generated The Sleeping Beauty,3128,566,5,0.7140484774749882,0.018994632584433235,0.695053844890555,0.05363989994224978
6,06_grimm_pg19068_hansel_and_grethel_tt_20250710_110157_tt_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_191246_tt_20250714_002423.txt,AI-generated Hansel and Grethel,6124,1148,10,0.709532604070617,0.014478759180062029,0.695053844890555,0.05363989994224978
7,07_grimm_pg19068_snow-white_tt_20250710_110157_tt_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_191246_tt_20250714_002423.txt,AI-generated Snow-white,3027,558,4,0.6447466140622727,-0.05030723082828226,0.695053844890555,0.05363989994224978
8,08_grimm_pg19068_the_golden_goose_tt_20250710_110158_tt_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_191246_tt_20250714_002423.txt,AI-generated The Golden Goose,3637,671,5,0.6668016766828979,-0.02825216820765708,0.695053844890555,0.05363989994224978
9,09_grimm_pg19068_the_wolf_and_the_seven_kids_tt_20250710_110158_tt_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_191246_tt_20250714_002423.txt,AI-generated The Wolf and the Seven Kids,2564,469,6,0.5436089554100237,-0.15144488948053125,0.695053844890555,0.05363989994224978
10,10_grimm_pg19068_the_frog_prince_tt_20250710_110158_tt_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_191246_tt_20250714_002423.txt,AI-generated The Frog Prince,2982,566,5,0.73345566147039,0.03840181657983499,0.695053844890555,0.05363989994224978
11,11_grimm_gb1823_jorinda_and_jorindel_tt_20250710_110158_tt_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_191246_tt_20250714_002423.txt,AI-generated Jorinda and Jorindel,3820,707,7,0.7196195761859562,0.024565731295401183,0.695053844890555,0.05363989994224978
12,12_grimm_gb1826_the_nose_tt_20250710_110158_tt_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_191246_tt_20250714_002423.txt,AI-generated The Nose,5114,959,8,0.6979121466290661,0.002858301738511093,0.695053844890555,0.05363989994224978
13,13_grimm_ia1853-1_the_little_brother_and_sister_tt_20250710_110158_tt_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_191246_tt_20250714_002423.txt,AI-generated The Little Brother and Sister,2656,516,3,0.6552381744416074,-0.039815670448947627,0.695053844890555,0.05363989994224978
14,14_grimm_ia1853-1_the_gold_children_tt_20250710_110158_tt_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_191246_tt_20250714_002423.txt,AI-generated The Gold Children,5147,928,7,0.6045158270710347,-0.09053801781952031,0.695053844890555,0.05363989994224978
15,15_grimm_ia1853-1_the_knapsack_the_hat_and_the_horn_tt_20250710_110159_tt_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_191246_tt_20250714_002423.txt,"AI-generated The Knapsack, the Hat, and the Horn",4435,865,5,0.6882571215322468,-0.006796723358308165,0.695053844890555,0.05363989994224978
16,16_grimm_gb1826_the_crows_and_the_soldier_tt_20250710_110159_tt_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_191246_tt_20250714_002423.txt,AI-generated The Crows and the Soldier,3672,685,4,0.7806033757652008,0.08554953087464578,0.695053844890555,0.05363989994224978
17,17_grimm_gb1853-2_the_faithful_beasts_tt_20250710_110159_tt_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_191246_tt_20250714_002423.txt,AI-generated The Faithful Beasts,4750,883,6,0.6534055397617813,-0.04164830512877371,0.695053844890555,0.05363989994224978
18,18_grimm_gb1853-2_the_sparrow_and_his_four_children_tt_20250710_110159_tt_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_191246_tt_20250714_002423.txt,AI-generated The Sparrow and his Four Children,5155,943,8,0.7191534250722186,0.024099580181663582,0.695053844890555,0.05363989994224978
19,19_grimm_gb1853-2_the_stolen_farthings_tt_20250710_110159_tt_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_191246_tt_20250714_002424.txt,AI-generated The Stolen Farthings,3310,617,4,0.732925008606697,0.037871163716141965,0.695053844890555,0.05363989994224978
20,20_grimm_gb1853-2_three_little_tales_about_toads_tt_20250710_110159_tt_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_191246_tt_20250714_002424.txt,AI-generated Three Little Tales about Toads,3548,684,5,0.6909015210065979,-0.004152323883957143,0.695053844890555,0.05363989994224978
