ID,File,Story,Characters,Tokens,Segments,KLD Avg,KLD Dev,KLD Avg Run,KLD Std Run
1,01_grimm_pg19068_rumpelstiltskin_tt_20250710_110156_tt_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_191246.txt,AI-generated Rumpelstiltskin,3964,710,8,0.6684077634993644,-0.026640042256513174,0.6950478057558775,0.039938339380500947
2,02_grimm_pg19068_rapunzel_tt_20250710_110157_tt_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_191246.txt,AI-generated Rapunzel,5009,945,10,0.7117674340244494,0.016719628268571873,0.6950478057558775,0.039938339380500947
3,03_grimm_pg19068_aschenputtel_tt_20250710_110157_tt_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_191246.txt,AI-generated Aschenputtel,5730,1109,12,0.6481003650522293,-0.0469474407036482,0.6950478057558775,0.039938339380500947
4,04_grimm_pg19068_little_red-cap_tt_20250710_110157_tt_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_191246.txt,AI-generated Little Red-cap,4096,776,8,0.7007935887592127,0.00574578300333517,0.6950478057558775,0.039938339380500947
5,05_grimm_pg19068_the_sleeping_beauty_tt_20250710_110157_tt_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_191246.txt,AI-generated The Sleeping Beauty,3127,566,6,0.708613343458087,0.013565537702209474,0.6950478057558775,0.039938339380500947
6,06_grimm_pg19068_hansel_and_grethel_tt_20250710_110157_tt_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_191246.txt,AI-generated Hansel and Grethel,6123,1148,12,0.6069275677038909,-0.08812023805198665,0.6950478057558775,0.039938339380500947
7,07_grimm_pg19068_snow-white_tt_20250710_110157_tt_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_191246.txt,AI-generated Snow-white,3026,558,6,0.7546157309166059,0.0595679251607284,0.6950478057558775,0.039938339380500947
8,08_grimm_pg19068_the_golden_goose_tt_20250710_110158_tt_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_191246.txt,AI-generated The Golden Goose,3636,671,7,0.6689842627481054,-0.02606354300777214,0.6950478057558775,0.039938339380500947
9,09_grimm_pg19068_the_wolf_and_the_seven_kids_tt_20250710_110158_tt_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_191246.txt,AI-generated The Wolf and the Seven Kids,2563,469,5,0.7171618790788329,0.02211407332295534,0.6950478057558775,0.039938339380500947
10,10_grimm_pg19068_the_frog_prince_tt_20250710_110158_tt_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_191246.txt,AI-generated The Frog Prince,2981,566,6,0.7601361341943031,0.0650883284384256,0.6950478057558775,0.039938339380500947
11,11_grimm_gb1823_jorinda_and_jorindel_tt_20250710_110158_tt_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_191246.txt,AI-generated Jorinda and Jorindel,3819,707,8,0.7083297565594047,0.01328195080352712,0.6950478057558775,0.039938339380500947
12,12_grimm_gb1826_the_nose_tt_20250710_110158_tt_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_191246.txt,AI-generated The Nose,5113,959,10,0.6864650249539059,-0.008582780801971612,0.6950478057558775,0.039938339380500947
13,13_grimm_ia1853-1_the_little_brother_and_sister_tt_20250710_110158_tt_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_191246.txt,AI-generated The Little Brother and Sister,2655,516,6,0.6984115787179014,0.0033637729620238366,0.6950478057558775,0.039938339380500947
14,14_grimm_ia1853-1_the_gold_children_tt_20250710_110158_tt_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_191246.txt,AI-generated The Gold Children,5146,928,10,0.6350090467818927,-0.06003875897398481,0.6950478057558775,0.039938339380500947
15,15_grimm_ia1853-1_the_knapsack_the_hat_and_the_horn_tt_20250710_110159_tt_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_191246.txt,"AI-generated The Knapsack, the Hat, and the Horn",4434,865,9,0.7393915466762074,0.04434374092032989,0.6950478057558775,0.039938339380500947
16,16_grimm_gb1826_the_crows_and_the_soldier_tt_20250710_110159_tt_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_191246.txt,AI-generated The Crows and the Soldier,3671,685,7,0.7015633682120223,0.006515562456144708,0.6950478057558775,0.039938339380500947
17,17_grimm_gb1853-2_the_faithful_beasts_tt_20250710_110159_tt_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_191246.txt,AI-generated The Faithful Beasts,4749,883,9,0.6787604593235144,-0.01628734643236318,0.6950478057558775,0.039938339380500947
18,18_grimm_gb1853-2_the_sparrow_and_his_four_children_tt_20250710_110159_tt_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_191246.txt,AI-generated The Sparrow and his Four Children,5154,943,10,0.6455187255599982,-0.049529080195879316,0.6950478057558775,0.039938339380500947
19,19_grimm_gb1853-2_the_stolen_farthings_tt_20250710_110159_tt_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_191246.txt,AI-generated The Stolen Farthings,3309,617,7,0.7137590344737106,0.01871122871783304,0.6950478057558775,0.039938339380500947
20,20_grimm_gb1853-2_three_little_tales_about_toads_tt_20250710_110159_tt_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_191246.txt,AI-generated Three Little Tales about Toads,3550,684,7,0.7482395044239101,0.05319169866803253,0.6950478057558775,0.039938339380500947
