ID,File,Story,Characters,Tokens,Segments,SGS Avg,SGS Dev,SGS Avg Run,SGS Std Run
1,01_grimm_pg19068_rumpelstiltskin_el_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_174322_tt_20250714_002150.txt,AI-generated Rumpelstiltskin,2978,547,5,0.7460415661334991,0.04662156677252549,0.6994199993609737,0.062292933967859225
2,02_grimm_pg19068_rapunzel_el_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_174322_tt_20250714_002150.txt,AI-generated Rapunzel,4122,799,7,0.7018081744511923,0.0023881750902186027,0.6994199993609737,0.062292933967859225
3,03_grimm_pg19068_aschenputtel_el_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_174322_tt_20250714_002150.txt,AI-generated Aschenputtel,4263,782,8,0.6668879474912371,-0.03253205186973651,0.6994199993609737,0.062292933967859225
4,04_grimm_pg19068_little_red-cap_el_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_174322_tt_20250714_002150.txt,AI-generated Little Red-cap,3396,626,6,0.6854878187179565,-0.013932180643017156,0.6994199993609737,0.062292933967859225
5,05_grimm_pg19068_the_sleeping_beauty_el_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_174322_tt_20250714_002150.txt,AI-generated The Sleeping Beauty,3204,611,6,0.6273182511329651,-0.07210174822800852,0.6994199993609737,0.062292933967859225
6,06_grimm_pg19068_hansel_and_grethel_el_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_174322_tt_20250714_002150.txt,AI-generated Hansel and Grethel,3473,617,4,0.7550815542538961,0.05566155489292246,0.6994199993609737,0.062292933967859225
7,07_grimm_pg19068_snow-white_el_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_174322_tt_20250714_002150.txt,AI-generated Snow-white,4463,809,7,0.6860770781834921,-0.013342921177481593,0.6994199993609737,0.062292933967859225
8,08_grimm_pg19068_the_golden_goose_el_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_174322_tt_20250714_002150.txt,AI-generated The Golden Goose,4835,907,7,0.7388851841290792,0.039465184768105566,0.6994199993609737,0.062292933967859225
9,09_grimm_pg19068_the_wolf_and_the_seven_kids_el_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_174322_tt_20250714_002150.txt,AI-generated The Wolf and the Seven Kids,5197,1005,7,0.822319914897283,0.1228999155363093,0.6994199993609737,0.062292933967859225
10,10_grimm_pg19068_the_frog_prince_el_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_174322_tt_20250714_002151.txt,AI-generated The Frog Prince,5260,1025,9,0.720841109752655,0.021421110391681375,0.6994199993609737,0.062292933967859225
11,11_grimm_gb1823_jorinda_and_jorindel_el_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_174322_tt_20250714_002151.txt,AI-generated Jorinda and Jorindel,2382,444,3,0.6024121642112732,-0.09700783514970046,0.6994199993609737,0.062292933967859225
12,12_grimm_gb1826_the_nose_el_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_174322_tt_20250714_002151.txt,AI-generated The Nose,2695,507,3,0.6722354590892792,-0.02718454027169448,0.6994199993609737,0.062292933967859225
13,13_grimm_ia1853-1_the_little_brother_and_sister_el_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_174322_tt_20250714_002151.txt,AI-generated The Little Brother and Sister,2251,422,4,0.7188202142715454,0.019400214910571756,0.6994199993609737,0.062292933967859225
14,14_grimm_ia1853-1_the_gold_children_el_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_174322_tt_20250714_002151.txt,AI-generated The Gold Children,3605,706,6,0.7351376175880432,0.035717618227069536,0.6994199993609737,0.062292933967859225
15,15_grimm_ia1853-1_the_knapsack_the_hat_and_the_horn_el_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_174322_tt_20250714_002151.txt,"AI-generated The Knapsack, the Hat, and the Horn",7776,1441,12,0.6843319264325228,-0.015088072928450824,0.6994199993609737,0.062292933967859225
16,16_grimm_gb1826_the_crows_and_the_soldier_el_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_174322_tt_20250714_002151.txt,AI-generated The Crows and the Soldier,4919,930,9,0.7199493870139122,0.020529387652938547,0.6994199993609737,0.062292933967859225
17,17_grimm_gb1853-2_the_faithful_beasts_el_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_174322_tt_20250714_002151.txt,AI-generated The Faithful Beasts,4235,784,7,0.5578852196534475,-0.14153477970752615,0.6994199993609737,0.062292933967859225
18,18_grimm_gb1853-2_the_sparrow_and_his_four_children_el_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_174322_tt_20250714_002151.txt,AI-generated The Sparrow and his Four Children,3077,564,5,0.7627592235803604,0.06333922421938676,0.6994199993609737,0.062292933967859225
19,19_grimm_gb1853-2_the_stolen_farthings_el_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_174322_tt_20250714_002151.txt,AI-generated The Stolen Farthings,4111,783,7,0.6146721343199412,-0.08474786504103249,0.6994199993609737,0.062292933967859225
20,20_grimm_gb1853-2_three_little_tales_about_toads_el_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_174322_tt_20250714_002151.txt,AI-generated Three Little Tales about Toads,3427,666,5,0.7694480419158936,0.0700280425549199,0.6994199993609737,0.062292933967859225
