ID,File,Story,Characters,Tokens,Segments,KLD Avg,KLD Dev,KLD Avg Run,KLD Std Run
1,01_grimm_pg19068_rumpelstiltskin.txt,Rumpelstiltskin,5795,1124,12,0.7358679089317978,-0.034821351304192394,0.7706892602359902,0.023776932780008364
2,02_grimm_pg19068_rapunzel.txt,Rapunzel,7074,1393,14,0.8018267050717915,0.031137444835801387,0.7706892602359902,0.023776932780008364
3,03_grimm_pg19068_aschenputtel.txt,Aschenputtel,14053,2692,27,0.7976392643357723,0.0269500040997821,0.7706892602359902,0.023776932780008364
4,04_grimm_pg19068_little_red-cap.txt,Little Red-cap,7096,1332,14,0.7805786340752423,0.009889373839252147,0.7706892602359902,0.023776932780008364
5,05_grimm_pg19068_the_sleeping_beauty.txt,The Sleeping Beauty,6839,1297,13,0.7584086302713303,-0.01228062996465984,0.7706892602359902,0.023776932780008364
6,06_grimm_pg19068_hansel_and_grethel.txt,Hansel and Grethel,14806,2842,29,0.7852694845783382,0.01458022434234807,0.7706892602359902,0.023776932780008364
7,07_grimm_pg19068_snow-white.txt,Snow-white,15977,3043,31,0.8120550043193325,0.04136574408334237,0.7706892602359902,0.023776932780008364
8,08_grimm_pg19068_the_golden_goose.txt,The Golden Goose,8334,1623,17,0.7299326137525155,-0.04075664648347466,0.7706892602359902,0.023776932780008364
9,09_grimm_pg19068_the_wolf_and_the_seven_kids.txt,The Wolf and the Seven Kids,5383,1043,11,0.7866558598506088,0.01596659961461866,0.7706892602359902,0.023776932780008364
10,10_grimm_pg19068_the_frog_prince.txt,The Frog Prince,7273,1412,15,0.8053507259953797,0.034661465759389554,0.7706892602359902,0.023776932780008364
11,11_grimm_gb1823_jorinda_and_jorindel.txt,Jorinda and Jorindel,5593,1053,11,0.7820129246671009,0.01132366443111077,0.7706892602359902,0.023776932780008364
12,12_grimm_gb1826_the_nose.txt,The Nose,12642,2482,25,0.7692956021391927,-0.0013936580967974788,0.7706892602359902,0.023776932780008364
13,13_grimm_ia1853-1_the_little_brother_and_sister.txt,The Little Brother and Sister,12206,2366,24,0.7448002943433134,-0.025888965892676752,0.7706892602359902,0.023776932780008364
14,14_grimm_ia1853-1_the_gold_children.txt,The Gold Children,9951,1923,20,0.7559666822270493,-0.014722578008940834,0.7706892602359902,0.023776932780008364
15,15_grimm_ia1853-1_the_knapsack_the_hat_and_the_horn.txt,"The Knapsack, the Hat, and the Horn",12291,2334,24,0.7875755227172953,0.016886262481305092,0.7706892602359902,0.023776932780008364
16,16_grimm_gb1826_the_crows_and_the_soldier.txt,The Crows and the Soldier,6480,1274,13,0.767590325918854,-0.0030989343171361483,0.7706892602359902,0.023776932780008364
17,17_grimm_gb1853-2_the_faithful_beasts.txt,The Faithful Beasts,7887,1515,16,0.7698123520093855,-0.000876908226604689,0.7706892602359902,0.023776932780008364
18,18_grimm_gb1853-2_the_sparrow_and_his_four_children.txt,The Sparrow and his Four Children,5156,964,10,0.7358163452479561,-0.03487291498803402,0.7706892602359902,0.023776932780008364
19,19_grimm_gb1853-2_the_stolen_farthings.txt,The Stolen Farthings,1758,334,4,0.7540306213698348,-0.016658638866155373,0.7706892602359902,0.023776932780008364
20,20_grimm_gb1853-2_three_little_tales_about_toads.txt,Three Little Tales about Toads,2696,509,6,0.7532997028977121,-0.017389557338278072,0.7706892602359902,0.023776932780008364
