ID,File,Story,Characters,Tokens,Segments,SGS Avg,SGS Dev,SGS Avg Run,SGS Std Run
1,01_grimm_pg19068_rumpelstiltskin.txt,Rumpelstiltskin,5795,1124,12,0.6074408482421528,0.06724959647927675,0.5401912517628761,0.07374166894470553
2,02_grimm_pg19068_rapunzel.txt,Rapunzel,7074,1393,14,0.4503140128575839,-0.0898772389052922,0.5401912517628761,0.07374166894470553
3,03_grimm_pg19068_aschenputtel.txt,Aschenputtel,14053,2692,27,0.528316583770972,-0.011874667991904064,0.5401912517628761,0.07374166894470553
4,04_grimm_pg19068_little_red-cap.txt,Little Red-cap,7096,1332,14,0.6716104837564322,0.1314192319935561,0.5401912517628761,0.07374166894470553
5,05_grimm_pg19068_the_sleeping_beauty.txt,The Sleeping Beauty,6839,1297,13,0.449769268433253,-0.09042198332962309,0.5401912517628761,0.07374166894470553
6,06_grimm_pg19068_hansel_and_grethel.txt,Hansel and Grethel,14806,2842,29,0.5640560910105705,0.023864839247694447,0.5401912517628761,0.07374166894470553
7,07_grimm_pg19068_snow-white.txt,Snow-white,15977,3043,31,0.565385561188062,0.025194309425185968,0.5401912517628761,0.07374166894470553
8,08_grimm_pg19068_the_golden_goose.txt,The Golden Goose,8334,1623,17,0.5940963495522738,0.05390509778939767,0.5401912517628761,0.07374166894470553
9,09_grimm_pg19068_the_wolf_and_the_seven_kids.txt,The Wolf and the Seven Kids,5383,1043,11,0.6273981213569642,0.08720686959408808,0.5401912517628761,0.07374166894470553
10,10_grimm_pg19068_the_frog_prince.txt,The Frog Prince,7273,1412,15,0.4753190704754421,-0.064872181287434,0.5401912517628761,0.07374166894470553
11,11_grimm_gb1823_jorinda_and_jorindel.txt,Jorinda and Jorindel,5593,1053,11,0.6102979779243469,0.07010672616147084,0.5401912517628761,0.07374166894470553
12,12_grimm_gb1826_the_nose.txt,The Nose,12642,2482,25,0.4475649471084277,-0.09262630465444838,0.5401912517628761,0.07374166894470553
13,13_grimm_ia1853-1_the_little_brother_and_sister.txt,The Little Brother and Sister,12206,2366,24,0.4531580961268881,-0.08703315563598796,0.5401912517628761,0.07374166894470553
14,14_grimm_ia1853-1_the_gold_children.txt,The Gold Children,9951,1923,20,0.5027563054310648,-0.037434946331811325,0.5401912517628761,0.07374166894470553
15,15_grimm_ia1853-1_the_knapsack_the_hat_and_the_horn.txt,"The Knapsack, the Hat, and the Horn",12291,2334,24,0.44984828389209247,-0.09034296787078361,0.5401912517628761,0.07374166894470553
16,16_grimm_gb1826_the_crows_and_the_soldier.txt,The Crows and the Soldier,6480,1274,13,0.4679652824997902,-0.07222596926308589,0.5401912517628761,0.07374166894470553
17,17_grimm_gb1853-2_the_faithful_beasts.txt,The Faithful Beasts,7887,1515,16,0.5131175061066945,-0.02707374565618159,0.5401912517628761,0.07374166894470553
18,18_grimm_gb1853-2_the_sparrow_and_his_four_children.txt,The Sparrow and his Four Children,5156,964,10,0.5929425424999661,0.05275129073709006,0.5401912517628761,0.07374166894470553
19,19_grimm_gb1853-2_the_stolen_farthings.txt,The Stolen Farthings,1758,334,4,0.5731363097826639,0.032945058019787865,0.5401912517628761,0.07374166894470553
20,20_grimm_gb1853-2_three_little_tales_about_toads.txt,Three Little Tales about Toads,2696,509,6,0.6593313932418823,0.1191401414790062,0.5401912517628761,0.07374166894470553
