ID,Story,Characters,Tokens,Segments,JSD Avg,JSD Dev,JSD Avg Run,JSD Std Run
1,Rumpelstiltskin,5795,1124,12,0.629237544128072,-0.016330062023814484,0.6455676061518865,0.023042855942950014
2,Rapunzel,7074,1393,14,0.6289366460523552,-0.016630960099531245,0.6455676061518865,0.023042855942950014
3,Aschenputtel,14053,2692,27,0.6263478444739271,-0.019219761677959357,0.6455676061518865,0.023042855942950014
4,Little Red-cap,7096,1332,14,0.6717152897326769,0.02614768358079045,0.6455676061518865,0.023042855942950014
5,The Sleeping Beauty,6839,1297,13,0.6406631049266832,-0.0049045012252032505,0.6455676061518865,0.023042855942950014
6,Hansel and Grethel,14806,2842,29,0.6805016690060273,0.0349340628541408,0.6455676061518865,0.023042855942950014
7,Snow-white,15977,3043,31,0.6666411778255427,0.0210735716736562,0.6455676061518865,0.023042855942950014
8,The Golden Goose,8334,1623,17,0.6049092461508812,-0.04065836000100531,0.6455676061518865,0.023042855942950014
9,The Wolf and the Seven Kids,5383,1043,11,0.6421762156229214,-0.003391390528965088,0.6455676061518865,0.023042855942950014
10,The Frog Prince,7273,1412,15,0.6645473235997791,0.01897971744789262,0.6455676061518865,0.023042855942950014
