ID,Story,Characters,Tokens,Segments,JSD Avg,JSD Dev,JSD Avg Run,JSD Std Run
1,Rumpelstiltskin,6255,1151,9,0.5911380584175732,-0.044633472735434054,0.6357715311530072,0.02801944153963334
2,Rapunzel,7689,1429,12,0.6092283815309153,-0.02654314962209192,0.6357715311530072,0.02801944153963334
3,Aschenputtel,15189,2758,22,0.5932871987656273,-0.04248433238737992,0.6357715311530072,0.02801944153963334
4,Little Red-cap,7712,1368,12,0.6405755162627226,0.0048039851097153585,0.6357715311530072,0.02801944153963334
5,The Sleeping Beauty,7299,1324,9,0.6364392814754567,0.0006677503224494785,0.6357715311530072,0.02801944153963334
6,Hansel and Grethel,15994,2911,23,0.6694228951753082,0.033651364022300956,0.6357715311530072,0.02801944153963334
7,Snow-white,17165,3112,23,0.6546360145494025,0.018864483396395237,0.6357715311530072,0.02801944153963334
8,The Golden Goose,8951,1659,12,0.6397569850513782,0.003985453898371016,0.6357715311530072,0.02801944153963334
9,The Wolf and the Seven Kids,5843,1070,9,0.6460306354947865,0.010259104341779235,0.6357715311530072,0.02801944153963334
10,The Frog Prince,7837,1445,11,0.6772003448069015,0.04142881365389428,0.6357715311530072,0.02801944153963334
