ID,File,Story,Characters,Tokens,Segments,JSD Avg,JSD Dev,JSD Avg Run,JSD Std Run
1,01_grimm_pg19068_rumpelstiltskin_tt_20250703_094112.txt,Rumpelstiltskin,6255,1151,9,0.6430308609518833,-0.12334017376028616,0.7663710347121695,0.047665034726888746
2,02_grimm_pg19068_rapunzel_tt_20250703_094112.txt,Rapunzel,7689,1429,12,0.7644358860313019,-0.0019351486808676377,0.7663710347121695,0.047665034726888746
3,03_grimm_pg19068_aschenputtel_tt_20250703_094112.txt,Aschenputtel,15189,2758,22,0.7433127295969616,-0.0230583051152079,0.7663710347121695,0.047665034726888746
4,04_grimm_pg19068_little_red-cap_tt_20250703_094112.txt,Little Red-cap,7712,1368,12,0.7534570442789945,-0.012913990433174982,0.7663710347121695,0.047665034726888746
5,05_grimm_pg19068_the_sleeping_beauty_tt_20250703_094112.txt,The Sleeping Beauty,7299,1324,9,0.8031984442709984,0.036827409558828905,0.7663710347121695,0.047665034726888746
6,06_grimm_pg19068_hansel_and_grethel_tt_20250703_094112.txt,Hansel and Grethel,15994,2911,23,0.7955927381932956,0.02922170348112607,0.7663710347121695,0.047665034726888746
7,07_grimm_pg19068_snow-white_tt_20250703_094113.txt,Snow-white,17165,3112,23,0.805379072683565,0.039008037971395515,0.7663710347121695,0.047665034726888746
8,08_grimm_pg19068_the_golden_goose_tt_20250703_094113.txt,The Golden Goose,8951,1659,12,0.7881140075774421,0.021742972865272603,0.7663710347121695,0.047665034726888746
9,09_grimm_pg19068_the_wolf_and_the_seven_kids_tt_20250703_094113.txt,The Wolf and the Seven Kids,5843,1070,9,0.7519191551927686,-0.014451879519400856,0.7663710347121695,0.047665034726888746
10,10_grimm_pg19068_the_frog_prince_tt_20250703_094113.txt,The Frog Prince,7837,1445,11,0.8152704083444833,0.04889937363231378,0.7663710347121695,0.047665034726888746
