ID,Story,Characters,Tokens,Segments,JSD Avg,JSD Dev,JSD Avg Run,JSD Std Run
1,Rumpelstiltskin,5795,1124,12,0.5624920734034599,-0.02501217338414763,0.5875042467876075,0.020350816962763123
2,Rapunzel,7074,1393,14,0.5672818303745042,-0.020222416413103295,0.5875042467876075,0.020350816962763123
3,Aschenputtel,14053,2692,27,0.5718313599998217,-0.015672886787785778,0.5875042467876075,0.020350816962763123
4,Little Red-cap,7096,1332,14,0.613760871517687,0.026256624730079503,0.5875042467876075,0.020350816962763123
5,The Sleeping Beauty,6839,1297,13,0.6032898420685401,0.015785595280932596,0.5875042467876075,0.020350816962763123
6,Hansel and Grethel,14806,2842,29,0.5937915434671909,0.006287296679583387,0.5875042467876075,0.020350816962763123
7,Snow-white,15977,3043,31,0.5837108575763973,-0.0037933892112101963,0.5875042467876075,0.020350816962763123
8,The Golden Goose,8334,1623,17,0.5587731904066202,-0.028731056380987274,0.5875042467876075,0.020350816962763123
9,The Wolf and the Seven Kids,5383,1043,11,0.6064318577817083,0.018927610994100785,0.5875042467876075,0.020350816962763123
10,The Frog Prince,7273,1412,15,0.6136790412801453,0.02617479449253779,0.5875042467876075,0.020350816962763123
