ID,File,Story,Characters,Tokens,Segments,SGS Avg,SGS Dev,SGS Avg Run,SGS Std Run
1,01_grimm_pg19068_rumpelstiltskin_tt_20250710_110156.txt,Rumpelstiltskin,6255,1151,9,0.6572447828948498,0.08295284674109149,0.5742919361537583,0.06526979667828599
2,02_grimm_pg19068_rapunzel_tt_20250710_110157.txt,Rapunzel,7689,1429,12,0.48211210153319617,-0.09217983462056212,0.5742919361537583,0.06526979667828599
3,03_grimm_pg19068_aschenputtel_tt_20250710_110157.txt,Aschenputtel,15189,2758,22,0.5705115042981648,-0.0037804318555935135,0.5742919361537583,0.06526979667828599
4,04_grimm_pg19068_little_red-cap_tt_20250710_110157.txt,Little Red-cap,7712,1368,12,0.6602471525018866,0.0859552163481283,0.5742919361537583,0.06526979667828599
5,05_grimm_pg19068_the_sleeping_beauty_tt_20250710_110157.txt,The Sleeping Beauty,7299,1324,9,0.49806906655430794,-0.07622286959945035,0.5742919361537583,0.06526979667828599
6,06_grimm_pg19068_hansel_and_grethel_tt_20250710_110157.txt,Hansel and Grethel,15994,2911,23,0.5793133486400951,0.005021412486336807,0.5742919361537583,0.06526979667828599
7,07_grimm_pg19068_snow-white_tt_20250710_110157.txt,Snow-white,17165,3112,23,0.6138269156217575,0.03953497946799922,0.5742919361537583,0.06526979667828599
8,08_grimm_pg19068_the_golden_goose_tt_20250710_110158.txt,The Golden Goose,8951,1659,12,0.6194053481925618,0.04511341203880348,0.5742919361537583,0.06526979667828599
9,09_grimm_pg19068_the_wolf_and_the_seven_kids_tt_20250710_110158.txt,The Wolf and the Seven Kids,5843,1070,9,0.64828722178936,0.07399528563560176,0.5742919361537583,0.06526979667828599
10,10_grimm_pg19068_the_frog_prince_tt_20250710_110158.txt,The Frog Prince,7837,1445,11,0.48446630239486693,-0.08982563375889135,0.5742919361537583,0.06526979667828599
11,11_grimm_gb1823_jorinda_and_jorindel_tt_20250710_110158.txt,Jorinda and Jorindel,6091,1083,10,0.5683370663060082,-0.005954869847750066,0.5742919361537583,0.06526979667828599
12,12_grimm_gb1826_the_nose_tt_20250710_110158.txt,The Nose,13443,2530,16,0.5125523249308268,-0.06173961122293148,0.5742919361537583,0.06526979667828599
13,13_grimm_ia1853-1_the_little_brother_and_sister_tt_20250710_110158.txt,The Little Brother and Sister,12759,2399,11,0.538627752661705,-0.03566418349205325,0.5742919361537583,0.06526979667828599
14,14_grimm_ia1853-1_the_gold_children_tt_20250710_110158.txt,The Gold Children,10762,1971,16,0.5530792832374573,-0.021212652916301034,0.5742919361537583,0.06526979667828599
15,15_grimm_ia1853-1_the_knapsack_the_hat_and_the_horn_tt_20250710_110159.txt,"The Knapsack, the Hat, and the Horn",13052,2379,15,0.524472251534462,-0.04981968461929631,0.5742919361537583,0.06526979667828599
16,16_grimm_gb1826_the_crows_and_the_soldier_tt_20250710_110159.txt,The Crows and the Soldier,6828,1295,7,0.5566437194744746,-0.017648216679283735,0.5742919361537583,0.06526979667828599
17,17_grimm_gb1853-2_the_faithful_beasts_tt_20250710_110159.txt,The Faithful Beasts,8239,1536,7,0.5587647159894308,-0.015527220164327504,0.5742919361537583,0.06526979667828599
18,18_grimm_gb1853-2_the_sparrow_and_his_four_children_tt_20250710_110159.txt,The Sparrow and his Four Children,5604,991,9,0.6372368335723877,0.06294489741862941,0.5742919361537583,0.06526979667828599
19,19_grimm_gb1853-2_the_stolen_farthings_tt_20250710_110159.txt,The Stolen Farthings,1859,340,2,0.5014644265174866,-0.07282750963627171,0.5742919361537583,0.06526979667828599
20,20_grimm_gb1853-2_three_little_tales_about_toads_tt_20250710_110159.txt,Three Little Tales about Toads,2898,521,4,0.7211766044298807,0.14688466827612245,0.5742919361537583,0.06526979667828599
