ID,File,Story,Characters,Tokens,Segments,Avg_Vader,Avg_TextBlob,Avg_Subjectivity,avg_anger,avg_disgust,avg_fear,avg_joy,avg_neutral,avg_sadness,avg_surprise,Segmentation_Method,Comparison_Type
1,01_grimm_pg19068_rumpelstiltskin_el_gen_mistral-7b-instruct-v0.2.Q4_K_M_#_tt_20250714_002150.txt,Rumpelstiltskin El Gen Mistral-7B-Instruct-V0.2.Q4 K M #,2968,547,5,0.55272,0.168220899,0.527046958,0.208447544,0.132344626,0.188215241,0.181715496,0.103347821,0.006614914,0.179314407,text_tiling,adjacent
2,02_grimm_pg19068_rapunzel_el_gen_mistral-7b-instruct-v0.2.Q4_K_M_#_tt_20250714_002150.txt,Rapunzel El Gen Mistral-7B-Instruct-V0.2.Q4 K M #,4108,799,7,0.475014286,0.263825429,0.616216156,0.309894493,0.239323621,0.137478651,0.131141407,0.154337433,0.018975959,0.008848422,text_tiling,adjacent
3,03_grimm_pg19068_aschenputtel_el_gen_mistral-7b-instruct-v0.2.Q4_K_M_#_tt_20250714_002150.txt,Aschenputtel El Gen Mistral-7B-Instruct-V0.2.Q4 K M #,4247,782,8,0.55355,0.151032272,0.610351656,0.099875644,0.381984856,0.003252387,0.05689144,0.098120444,0.235432619,0.124442616,text_tiling,adjacent
4,04_grimm_pg19068_little_red-cap_el_gen_mistral-7b-instruct-v0.2.Q4_K_M_#_tt_20250714_002150.txt,Little Red-Cap El Gen Mistral-7B-Instruct-V0.2.Q4 K M #,3384,626,6,-0.440883333,-0.081076974,0.539187637,0.048612197,0.034092692,0.226434295,0.160243097,0.120018692,0.394726765,0.015872284,text_tiling,adjacent
5,05_grimm_pg19068_the_sleeping_beauty_el_gen_mistral-7b-instruct-v0.2.Q4_K_M_#_tt_20250714_002150.txt,The Sleeping Beauty El Gen Mistral-7B-Instruct-V0.2.Q4 K M #,3192,611,6,0.584016667,0.258003472,0.548541667,0.057799311,0.273839592,0.188487323,0.177089238,0.102470637,0.057787927,0.14252599,text_tiling,adjacent
6,06_grimm_pg19068_hansel_and_grethel_el_gen_mistral-7b-instruct-v0.2.Q4_K_M_#_tt_20250714_002150.txt,Hansel And Grethel El Gen Mistral-7B-Instruct-V0.2.Q4 K M #,3465,617,4,0.34895,0.175911458,0.54155506,0.103209801,0.326375799,0.030561981,0.417111921,0.053475702,0.064420971,0.004843799,text_tiling,adjacent
7,07_grimm_pg19068_snow-white_el_gen_mistral-7b-instruct-v0.2.Q4_K_M_#_tt_20250714_002150.txt,Snow-White El Gen Mistral-7B-Instruct-V0.2.Q4 K M #,4449,809,7,-0.121685714,0.113679901,0.550692482,0.243388883,0.169691052,0.071873138,0.227160081,0.093854064,0.168794843,0.025237943,text_tiling,adjacent
8,08_grimm_pg19068_the_golden_goose_el_gen_mistral-7b-instruct-v0.2.Q4_K_M_#_tt_20250714_002150.txt,The Golden Goose El Gen Mistral-7B-Instruct-V0.2.Q4 K M #,4821,907,7,0.5783,0.193173351,0.37618046,0.157912472,0.345554016,0.00359758,0.171294314,0.292637092,0.020516174,0.008488384,text_tiling,adjacent
9,09_grimm_pg19068_the_wolf_and_the_seven_kids_el_gen_mistral-7b-instruct-v0.2.Q4_K_M_#_tt_20250714_002150.txt,The Wolf And The Seven Kids El Gen Mistral-7B-Instruct-V0.2.Q4 K M #,5183,1005,7,0.542185714,0.070683247,0.424104134,0.520903609,0.158896513,0.020461744,0.009682132,0.071697744,0.214704403,0.003653867,text_tiling,adjacent
10,10_grimm_pg19068_the_frog_prince_el_gen_mistral-7b-instruct-v0.2.Q4_K_M_#_tt_20250714_002151.txt,The Frog Prince El Gen Mistral-7B-Instruct-V0.2.Q4 K M #,5242,1025,9,0.944744444,0.273585092,0.606884199,0.122086974,0.219413384,0.140119864,0.162145845,0.065373614,0.113991419,0.176868902,text_tiling,adjacent
