ID,File,Story,Characters,Tokens,Segments,Avg_Vader,Avg_TextBlob,Avg_Subjectivity,avg_anger,avg_disgust,avg_fear,avg_joy,avg_neutral,avg_sadness,avg_surprise,Segmentation_Method,Comparison_Type
1,01_grimm_pg19068_rumpelstiltskin_tt_#_tt_gen_mistral-7b-instruct-v0.2.Q4_K_M_#_tt_20250714_002423.txt,Rumpelstiltskin Tt # Tt Gen Mistral-7B-Instruct-V0.2.Q4 K M #,3949,710,8,-0.0459,0.115335648,0.584924769,0.292035734,0.224546262,0.224235436,0.00888514,0.118354001,0.125975693,0.005967732,text_tiling,adjacent
2,02_grimm_pg19068_rapunzel_tt_#_tt_gen_mistral-7b-instruct-v0.2.Q4_K_M_#_tt_20250714_002423.txt,Rapunzel Tt # Tt Gen Mistral-7B-Instruct-V0.2.Q4 K M #,4996,945,7,0.508685714,0.165521463,0.558061335,0.188886326,0.028158159,0.371551172,0.253508021,0.044601412,0.008667985,0.104626934,text_tiling,adjacent
3,03_grimm_pg19068_aschenputtel_tt_#_tt_gen_mistral-7b-instruct-v0.2.Q4_K_M_#_tt_20250714_002423.txt,Aschenputtel Tt # Tt Gen Mistral-7B-Instruct-V0.2.Q4 K M #,5711,1109,10,0.69838,0.266841571,0.568228178,0.276874857,0.263623401,0.183196432,0.019571511,0.062808413,0.09788644,0.096038946,text_tiling,adjacent
4,04_grimm_pg19068_little_red-cap_tt_#_tt_gen_mistral-7b-instruct-v0.2.Q4_K_M_#_tt_20250714_002423.txt,Little Red-Cap Tt # Tt Gen Mistral-7B-Instruct-V0.2.Q4 K M #,4083,776,7,0.774942857,0.102206633,0.522308673,0.091704689,0.084782002,0.285219944,0.260395495,0.222748253,0.038303992,0.016845631,text_tiling,adjacent
5,05_grimm_pg19068_the_sleeping_beauty_tt_#_tt_gen_mistral-7b-instruct-v0.2.Q4_K_M_#_tt_20250714_002423.txt,The Sleeping Beauty Tt # Tt Gen Mistral-7B-Instruct-V0.2.Q4 K M #,3118,566,5,0.3078,0.270440747,0.564646825,0.173627804,0.13087847,0.07832628,0.247057802,0.276016239,0.066592366,0.027501043,text_tiling,adjacent
6,06_grimm_pg19068_hansel_and_grethel_tt_#_tt_gen_mistral-7b-instruct-v0.2.Q4_K_M_#_tt_20250714_002423.txt,Hansel And Grethel Tt # Tt Gen Mistral-7B-Instruct-V0.2.Q4 K M #,6104,1148,10,0.46276,0.11236562,0.445953562,0.054375049,0.237797873,0.241689887,0.18379246,0.191759722,0.052522923,0.038062103,text_tiling,adjacent
7,07_grimm_pg19068_snow-white_tt_#_tt_gen_mistral-7b-instruct-v0.2.Q4_K_M_#_tt_20250714_002423.txt,Snow-White Tt # Tt Gen Mistral-7B-Instruct-V0.2.Q4 K M #,3019,558,4,0.46045,0.258413947,0.525645882,0.303199146,0.525311298,0.014040536,0.015898358,0.098560658,0.016570359,0.026419673,text_tiling,adjacent
8,08_grimm_pg19068_the_golden_goose_tt_#_tt_gen_mistral-7b-instruct-v0.2.Q4_K_M_#_tt_20250714_002423.txt,The Golden Goose Tt # Tt Gen Mistral-7B-Instruct-V0.2.Q4 K M #,3627,671,5,0.37986,0.127088294,0.476243386,0.207191023,0.352139147,0.012160284,0.148194501,0.08858035,0.025180459,0.166554246,text_tiling,adjacent
9,09_grimm_pg19068_the_wolf_and_the_seven_kids_tt_#_tt_gen_mistral-7b-instruct-v0.2.Q4_K_M_#_tt_20250714_002423.txt,The Wolf And The Seven Kids Tt # Tt Gen Mistral-7B-Instruct-V0.2.Q4 K M #,2552,469,6,0.348566667,0.119621738,0.543929398,0.100697973,0.252702507,0.287680233,0.154548147,0.047316447,0.154142253,0.002912406,text_tiling,adjacent
10,10_grimm_pg19068_the_frog_prince_tt_#_tt_gen_mistral-7b-instruct-v0.2.Q4_K_M_#_tt_20250714_002423.txt,The Frog Prince Tt # Tt Gen Mistral-7B-Instruct-V0.2.Q4 K M #,2972,566,5,0.56302,0.24229798,0.512063492,0.022847555,0.100058234,0.021158321,0.202676691,0.096556909,0.403451785,0.1532505,text_tiling,adjacent
